relation1,attribute1,relation2,attribute2,frequency
belongsToCategory,upperbody,hasWaistline,natural-waist,4
depicts,dress,hasWaistline,natural-waist,4
hasWaistline,natural-waist,hasLength,knee-length,4
hasWaistline,natural-waist,hasSilhouette,a-line,4
hasWaistline,natural-waist,belongsToCategory,upperbody,4
hasWaistline,natural-waist,depicts,dress,4
hasFabricTreatment,plain weave,hasPattern,floral,4
hasPattern,floral,hasFabricTreatment,plain weave,4
hasWaistline,high-waisted,hasFabricTreatment,plain weave,4
hasFabricTreatment,plain weave,hasWaistline,high-waisted,4
hasOpeningType,front opening,hasMaterialType,cotton,4
hasMaterialType,cotton,hasOpeningType,front opening,4
hasNeckline,v-neck,hasOpeningType,front opening,4
hasCollarType,v-neck,hasOpeningType,front opening,4
hasLength,knee-length,hasOpeningType,front opening,4
hasSilhouette,a-line,hasOpeningType,front opening,4
belongsToCategory,upperbody,hasOpeningType,front opening,4
depicts,dress,hasOpeningType,front opening,4
hasOpeningType,front opening,hasNeckline,v-neck,4
hasOpeningType,front opening,hasCollarType,v-neck,4
hasOpeningType,front opening,hasLength,knee-length,4
hasOpeningType,front opening,hasSilhouette,a-line,4
hasOpeningType,front opening,belongsToCategory,upperbody,4
hasOpeningType,front opening,depicts,dress,4
hasMaterialType,cotton,hasFabricTreatment,unfinished seams,4
hasSleeveType,short-sleeve,hasFabricTreatment,unfinished seams,4
hasNeckline,v-neck,hasFabricTreatment,unfinished seams,4
hasCollarType,v-neck,hasFabricTreatment,unfinished seams,4
hasLength,knee-length,hasFabricTreatment,unfinished seams,4
hasSilhouette,a-line,hasFabricTreatment,unfinished seams,4
belongsToCategory,upperbody,hasFabricTreatment,unfinished seams,4
depicts,dress,hasFabricTreatment,unfinished seams,4
hasFabricTreatment,unfinished seams,hasMaterialType,cotton,4
hasLength,knee-length,hasOpeningType,button,4
hasWaistline,natural,hasOpeningType,button,4
hasFabricTreatment,unfinished seams,hasSleeveType,short-sleeve,4
hasFabricTreatment,unfinished seams,hasNeckline,v-neck,4
hasFabricTreatment,unfinished seams,hasCollarType,v-neck,4
hasFabricTreatment,unfinished seams,hasLength,knee-length,4
hasOpeningType,button,hasLength,knee-length,4
hasOpeningType,button,hasWaistline,natural,4
hasFabricTreatment,unfinished seams,hasSilhouette,a-line,4
hasFabricTreatment,unfinished seams,belongsToCategory,upperbody,4
hasFabricTreatment,unfinished seams,depicts,dress,4
hasSleeveType,short-sleeve,hasFabricTreatment,plain weave,4
hasFabricTreatment,plain weave,hasSleeveType,short-sleeve,4
hasOpeningType,zipper,hasPattern,striped,4
hasPattern,striped,hasOpeningType,zipper,4
hasNeckline,v-neck,hasOpeningType,button front,3
hasCollarType,v-neck,hasOpeningType,button front,3
hasSilhouette,a-line,hasOpeningType,button front,3
belongsToCategory,upperbody,hasOpeningType,button front,3
depicts,dress,hasOpeningType,button front,3
hasOpeningType,button front,hasNeckline,v-neck,3
hasOpeningType,button front,hasCollarType,v-neck,3
hasOpeningType,button front,hasSilhouette,a-line,3
hasOpeningType,button front,belongsToCategory,upperbody,3
hasOpeningType,button front,depicts,dress,3
hasWaistline,natural-waist,hasPattern,floral,3
hasPattern,floral,hasWaistline,natural-waist,3
hasOpeningType,zipper,hasFabricTreatment,plain weave,3
hasFabricTreatment,plain weave,hasOpeningType,zipper,3
hasOpeningType,front opening,hasPattern,floral,3
hasPattern,floral,hasOpeningType,front opening,3
hasWaistline,natural,hasFabricTreatment,unfinished seams,3
hasFabricTreatment,unfinished seams,hasWaistline,natural,3
hasWaistline,natural,hasFabricTreatment,plain weave,3
hasFabricTreatment,plain weave,hasWaistline,natural,3
hasLength,long,hasMaterialType,cotton,3
hasLength,long,hasOpeningType,zipper,3
hasLength,long,hasSleeveType,short-sleeve,3
hasLength,long,hasNeckline,v-neck,3
hasMaterialType,cotton,hasLength,long,3
hasOpeningType,zipper,hasLength,long,3
hasSleeveType,short-sleeve,hasLength,long,3
hasNeckline,v-neck,hasLength,long,3
hasSilhouette,a-line,hasLength,long,3
belongsToCategory,upperbody,hasLength,long,3
depicts,dress,hasLength,long,3
hasLength,long,hasSilhouette,a-line,3
hasLength,long,belongsToCategory,upperbody,3
hasLength,long,depicts,dress,3
hasSleeveType,short-sleeve,hasOpeningType,front opening,3
hasWaistline,natural,hasOpeningType,front opening,3
hasOpeningType,front opening,hasSleeveType,short-sleeve,3
hasOpeningType,front opening,hasWaistline,natural,3
hasSleeveType,short-sleeve,hasOpeningType,zipper closure,2
hasNeckline,v-neck,hasOpeningType,zipper closure,2
hasCollarType,v-neck,hasOpeningType,zipper closure,2
hasSilhouette,a-line,hasOpeningType,zipper closure,2
belongsToCategory,upperbody,hasOpeningType,zipper closure,2
depicts,dress,hasOpeningType,zipper closure,2
hasOpeningType,zipper closure,hasSleeveType,short-sleeve,2
hasOpeningType,zipper closure,hasNeckline,v-neck,2
hasOpeningType,zipper closure,hasCollarType,v-neck,2
hasOpeningType,zipper closure,hasSilhouette,a-line,2
hasOpeningType,zipper closure,belongsToCategory,upperbody,2
hasOpeningType,zipper closure,depicts,dress,2
hasOpeningType,button front,hasPattern,floral,2
hasOpeningType,button front,hasMaterialType,cotton,2
hasPattern,floral,hasOpeningType,button front,2
hasMaterialType,cotton,hasOpeningType,button front,2
hasLength,knee-length,hasOpeningType,button front,2
hasWaistline,high-waisted,hasOpeningType,button front,2
hasOpeningType,button front,hasLength,knee-length,2
hasOpeningType,button front,hasWaistline,high-waisted,2
hasOpeningType,zipper opening,hasMaterialType,cotton material,2
hasSleeveType,short-sleeve,hasMaterialType,cotton material,2
hasCollarType,v-neck,hasMaterialType,cotton material,2
hasLength,knee-length,hasMaterialType,cotton material,2
hasSilhouette,a-line,hasMaterialType,cotton material,2
belongsToCategory,upperbody,hasMaterialType,cotton material,2
depicts,dress,hasMaterialType,cotton material,2
hasMaterialType,cotton material,hasOpeningType,zipper opening,2
hasSleeveType,short-sleeve,hasOpeningType,zipper opening,2
hasCollarType,v-neck,hasOpeningType,zipper opening,2
hasLength,knee-length,hasOpeningType,zipper opening,2
hasSilhouette,a-line,hasOpeningType,zipper opening,2
belongsToCategory,upperbody,hasOpeningType,zipper opening,2
depicts,dress,hasOpeningType,zipper opening,2
hasMaterialType,cotton material,hasSleeveType,short-sleeve,2
hasOpeningType,zipper opening,hasSleeveType,short-sleeve,2
hasMaterialType,cotton material,hasCollarType,v-neck,2
hasOpeningType,zipper opening,hasCollarType,v-neck,2
hasMaterialType,cotton material,hasLength,knee-length,2
hasOpeningType,zipper opening,hasLength,knee-length,2
hasMaterialType,cotton material,hasSilhouette,a-line,2
hasOpeningType,zipper opening,hasSilhouette,a-line,2
hasMaterialType,cotton material,belongsToCategory,upperbody,2
hasOpeningType,zipper opening,belongsToCategory,upperbody,2
hasMaterialType,cotton material,depicts,dress,2
hasOpeningType,zipper opening,depicts,dress,2
hasWaistline,natural waistline,hasPattern,floral,2
hasWaistline,natural waistline,hasSleeveType,short-sleeve,2
hasWaistline,natural waistline,hasNeckline,v-neck,2
hasWaistline,natural waistline,hasCollarType,v-neck,2
hasWaistline,natural waistline,hasLength,knee-length,2
hasPattern,floral,hasWaistline,natural waistline,2
hasSleeveType,short-sleeve,hasWaistline,natural waistline,2
hasNeckline,v-neck,hasWaistline,natural waistline,2
hasCollarType,v-neck,hasWaistline,natural waistline,2
hasLength,knee-length,hasWaistline,natural waistline,2
hasSilhouette,a-line,hasWaistline,natural waistline,2
belongsToCategory,upperbody,hasWaistline,natural waistline,2
depicts,dress,hasWaistline,natural waistline,2
hasWaistline,natural waistline,hasSilhouette,a-line,2
hasWaistline,natural waistline,belongsToCategory,upperbody,2
hasWaistline,natural waistline,depicts,dress,2
hasLength,knee-length dress,hasPattern,floral,2
hasLength,knee-length dress,hasNeckline,v-neck,2
hasLength,knee-length dress,hasCollarType,v-neck,2
hasPattern,floral,hasLength,knee-length dress,2
hasNeckline,v-neck,hasLength,knee-length dress,2
hasCollarType,v-neck,hasLength,knee-length dress,2
hasWaistline,high-waisted,hasLength,knee-length dress,2
hasSilhouette,a-line,hasLength,knee-length dress,2
belongsToCategory,upperbody,hasLength,knee-length dress,2
depicts,dress,hasLength,knee-length dress,2
hasLength,knee-length dress,hasWaistline,high-waisted,2
hasLength,knee-length dress,hasSilhouette,a-line,2
hasLength,knee-length dress,belongsToCategory,upperbody,2
hasLength,knee-length dress,depicts,dress,2
hasOpeningType,front opening,hasFabricTreatment,plain weave,2
hasFabricTreatment,plain weave,hasOpeningType,front opening,2
hasFabricTreatment,unfinished seams,hasPattern,striped,2
hasOpeningType,button,hasPattern,striped,2
hasPattern,striped,hasFabricTreatment,unfinished seams,2
hasOpeningType,button,hasFabricTreatment,unfinished seams,2
hasPattern,striped,hasOpeningType,button,2
hasFabricTreatment,unfinished seams,hasOpeningType,button,2
hasLength,long,hasPattern,floral,2
hasPattern,floral,hasLength,long,2
hasFabricTreatment,plain weave,hasPattern,striped,2
hasPattern,striped,hasFabricTreatment,plain weave,2
hasOpeningType,button,hasFabricTreatment,plain weave,2
hasFabricTreatment,plain weave,hasOpeningType,button,2
hasSleeveType,short-sleeve,hasMaterialType,cotton fabric,2
hasNeckline,v-neck,hasMaterialType,cotton fabric,2
hasCollarType,v-neck,hasMaterialType,cotton fabric,2
hasWaistline,high-waisted,hasMaterialType,cotton fabric,2
hasSilhouette,a-line,hasMaterialType,cotton fabric,2
belongsToCategory,upperbody,hasMaterialType,cotton fabric,2
depicts,dress,hasMaterialType,cotton fabric,2
hasMaterialType,cotton fabric,hasSleeveType,short-sleeve,2
hasMaterialType,cotton fabric,hasNeckline,v-neck,2
hasMaterialType,cotton fabric,hasCollarType,v-neck,2
hasMaterialType,cotton fabric,hasWaistline,high-waisted,2
hasMaterialType,cotton fabric,hasSilhouette,a-line,2
hasMaterialType,cotton fabric,belongsToCategory,upperbody,2
hasMaterialType,cotton fabric,depicts,dress,2
hasWaistline,high-waisted,hasPattern,striped,2
hasPattern,striped,hasWaistline,high-waisted,2
hasLength,long,hasCollarType,v-neck,2
hasCollarType,v-neck,hasLength,long,2
hasWaistline,natural,hasLength,long,2
hasLength,long,hasWaistline,natural,2
hasFabricTreatment,unfinished seams,hasPattern,floral,2
hasPattern,floral,hasFabricTreatment,unfinished seams,2
hasOpeningType,buttons,hasPattern,floral,2
hasOpeningType,buttons,hasMaterialType,cotton,2
hasPattern,floral,hasOpeningType,buttons,2
hasMaterialType,cotton,hasOpeningType,buttons,2
hasSleeveType,short-sleeve,hasOpeningType,buttons,2
hasNeckline,v-neck,hasOpeningType,buttons,2
hasCollarType,v-neck,hasOpeningType,buttons,2
hasLength,knee-length,hasOpeningType,buttons,2
hasSilhouette,a-line,hasOpeningType,buttons,2
belongsToCategory,upperbody,hasOpeningType,buttons,2
depicts,dress,hasOpeningType,buttons,2
hasOpeningType,buttons,hasSleeveType,short-sleeve,2
hasOpeningType,buttons,hasNeckline,v-neck,2
hasOpeningType,buttons,hasCollarType,v-neck,2
hasOpeningType,buttons,hasLength,knee-length,2
hasOpeningType,buttons,hasSilhouette,a-line,2
hasOpeningType,buttons,belongsToCategory,upperbody,2
hasOpeningType,buttons,depicts,dress,2
hasOpeningType,zipper closure,hasPattern,floral,1
hasOpeningType,zipper closure,hasMaterialType,cotton,1
hasPattern,floral,hasOpeningType,zipper closure,1
hasMaterialType,cotton,hasOpeningType,zipper closure,1
hasLength,knee-length,hasOpeningType,zipper closure,1
hasWaistline,natural,hasOpeningType,zipper closure,1
hasOpeningType,zipper closure,hasLength,knee-length,1
hasOpeningType,zipper closure,hasWaistline,natural,1
hasSleeveType,short-sleeve,hasOpeningType,button front,1
hasOpeningType,button front,hasSleeveType,short-sleeve,1
hasOpeningType,round neckline,hasPattern,floral,1
hasOpeningType,round neckline,hasMaterialType,cotton,1
hasPattern,floral,hasOpeningType,round neckline,1
hasMaterialType,cotton,hasOpeningType,round neckline,1
hasSleeveType,short-sleeve,hasOpeningType,round neckline,1
hasNeckline,v-neck,hasOpeningType,round neckline,1
hasCollarType,v-neck,hasOpeningType,round neckline,1
hasWaistline,natural-waist,hasOpeningType,round neckline,1
hasLength,knee-length,hasOpeningType,round neckline,1
hasSilhouette,a-line,hasOpeningType,round neckline,1
belongsToCategory,upperbody,hasOpeningType,round neckline,1
depicts,dress,hasOpeningType,round neckline,1
hasOpeningType,round neckline,hasSleeveType,short-sleeve,1
hasOpeningType,round neckline,hasNeckline,v-neck,1
hasOpeningType,round neckline,hasCollarType,v-neck,1
hasOpeningType,round neckline,hasWaistline,natural-waist,1
hasOpeningType,round neckline,hasLength,knee-length,1
hasOpeningType,round neckline,hasSilhouette,a-line,1
hasOpeningType,round neckline,belongsToCategory,upperbody,1
hasOpeningType,round neckline,depicts,dress,1
hasMaterialType,cotton material,hasPattern,striped pattern,1
hasOpeningType,zipper opening,hasPattern,striped pattern,1
hasSleeveType,short-sleeve,hasPattern,striped pattern,1
hasNeckline,v-neckline,hasPattern,striped pattern,1
hasCollarType,v-neck,hasPattern,striped pattern,1
hasLength,knee-length,hasPattern,striped pattern,1
hasWaistline,high-waisted,hasPattern,striped pattern,1
hasSilhouette,a-line,hasPattern,striped pattern,1
belongsToCategory,upperbody,hasPattern,striped pattern,1
depicts,dress,hasPattern,striped pattern,1
hasPattern,striped pattern,hasMaterialType,cotton material,1
hasNeckline,v-neckline,hasMaterialType,cotton material,1
hasWaistline,high-waisted,hasMaterialType,cotton material,1
hasPattern,striped pattern,hasOpeningType,zipper opening,1
hasNeckline,v-neckline,hasOpeningType,zipper opening,1
hasWaistline,high-waisted,hasOpeningType,zipper opening,1
hasPattern,striped pattern,hasSleeveType,short-sleeve,1
hasNeckline,v-neckline,hasSleeveType,short-sleeve,1
hasPattern,striped pattern,hasNeckline,v-neckline,1
hasMaterialType,cotton material,hasNeckline,v-neckline,1
hasOpeningType,zipper opening,hasNeckline,v-neckline,1
hasSleeveType,short-sleeve,hasNeckline,v-neckline,1
hasCollarType,v-neck,hasNeckline,v-neckline,1
hasLength,knee-length,hasNeckline,v-neckline,1
hasWaistline,high-waisted,hasNeckline,v-neckline,1
hasSilhouette,a-line,hasNeckline,v-neckline,1
belongsToCategory,upperbody,hasNeckline,v-neckline,1
depicts,dress,hasNeckline,v-neckline,1
hasPattern,striped pattern,hasCollarType,v-neck,1
hasNeckline,v-neckline,hasCollarType,v-neck,1
hasPattern,striped pattern,hasLength,knee-length,1
hasNeckline,v-neckline,hasLength,knee-length,1
hasPattern,striped pattern,hasWaistline,high-waisted,1
hasMaterialType,cotton material,hasWaistline,high-waisted,1
hasOpeningType,zipper opening,hasWaistline,high-waisted,1
hasNeckline,v-neckline,hasWaistline,high-waisted,1
hasPattern,striped pattern,hasSilhouette,a-line,1
hasNeckline,v-neckline,hasSilhouette,a-line,1
hasPattern,striped pattern,belongsToCategory,upperbody,1
hasNeckline,v-neckline,belongsToCategory,upperbody,1
hasPattern,striped pattern,depicts,dress,1
hasNeckline,v-neckline,depicts,dress,1
hasWaistline,natural waistline,hasMaterialType,cotton,1
hasMaterialType,cotton,hasWaistline,natural waistline,1
hasMaterialType,cotton material,hasPattern,floral,1
hasOpeningType,zipper opening,hasPattern,floral,1
hasLapelType,notch lapel,hasPattern,floral,1
hasPattern,floral,hasMaterialType,cotton material,1
hasNeckline,v-neck,hasMaterialType,cotton material,1
hasLapelType,notch lapel,hasMaterialType,cotton material,1
hasWaistline,natural waistline,hasMaterialType,cotton material,1
hasPattern,floral,hasOpeningType,zipper opening,1
hasNeckline,v-neck,hasOpeningType,zipper opening,1
hasLapelType,notch lapel,hasOpeningType,zipper opening,1
hasWaistline,natural waistline,hasOpeningType,zipper opening,1
hasLapelType,notch lapel,hasSleeveType,short-sleeve,1
hasMaterialType,cotton material,hasNeckline,v-neck,1
hasOpeningType,zipper opening,hasNeckline,v-neck,1
hasLapelType,notch lapel,hasNeckline,v-neck,1
hasPattern,floral,hasLapelType,notch lapel,1
hasMaterialType,cotton material,hasLapelType,notch lapel,1
hasOpeningType,zipper opening,hasLapelType,notch lapel,1
hasSleeveType,short-sleeve,hasLapelType,notch lapel,1
hasNeckline,v-neck,hasLapelType,notch lapel,1
hasCollarType,v-neck,hasLapelType,notch lapel,1
hasLength,knee-length,hasLapelType,notch lapel,1
hasWaistline,natural waistline,hasLapelType,notch lapel,1
hasSilhouette,a-line,hasLapelType,notch lapel,1
belongsToCategory,upperbody,hasLapelType,notch lapel,1
depicts,dress,hasLapelType,notch lapel,1
hasLapelType,notch lapel,hasCollarType,v-neck,1
hasLapelType,notch lapel,hasLength,knee-length,1
hasMaterialType,cotton material,hasWaistline,natural waistline,1
hasOpeningType,zipper opening,hasWaistline,natural waistline,1
hasLapelType,notch lapel,hasWaistline,natural waistline,1
hasLapelType,notch lapel,hasSilhouette,a-line,1
hasLapelType,notch lapel,belongsToCategory,upperbody,1
hasLapelType,notch lapel,depicts,dress,1
hasSleeveType,sleeveless,hasPattern,floral,1
hasSleeveType,sleeveless,hasFabricTreatment,plain weave,1
hasSleeveType,sleeveless,hasMaterialType,cotton,1
hasSleeveType,sleeveless,hasOpeningType,zipper,1
hasPattern,floral,hasSleeveType,sleeveless,1
hasFabricTreatment,plain weave,hasSleeveType,sleeveless,1
hasMaterialType,cotton,hasSleeveType,sleeveless,1
hasOpeningType,zipper,hasSleeveType,sleeveless,1
hasNeckline,v-neck,hasSleeveType,sleeveless,1
hasCollarType,v-neck,hasSleeveType,sleeveless,1
hasLength,knee-length,hasSleeveType,sleeveless,1
hasWaistline,high-waisted,hasSleeveType,sleeveless,1
hasSilhouette,a-line,hasSleeveType,sleeveless,1
belongsToCategory,upperbody,hasSleeveType,sleeveless,1
depicts,dress,hasSleeveType,sleeveless,1
hasSleeveType,sleeveless,hasNeckline,v-neck,1
hasSleeveType,sleeveless,hasCollarType,v-neck,1
hasSleeveType,sleeveless,hasLength,knee-length,1
hasSleeveType,sleeveless,hasWaistline,high-waisted,1
hasSleeveType,sleeveless,hasSilhouette,a-line,1
hasSleeveType,sleeveless,belongsToCategory,upperbody,1
hasSleeveType,sleeveless,depicts,dress,1
hasLength,knee-length dress,hasMaterialType,cotton,1
hasMaterialType,cotton,hasLength,knee-length dress,1
hasWaistline,high-waisted,hasOpeningType,front opening,1
hasOpeningType,front opening,hasWaistline,high-waisted,1
hasLength,above the knee,hasPattern,floral,1
hasLength,above the knee,hasMaterialType,cotton,1
hasLength,above the knee,hasOpeningType,button front,1
hasLength,above the knee,hasNeckline,v-neck,1
hasLength,above the knee,hasCollarType,v-neck,1
hasPattern,floral,hasLength,above the knee,1
