relation1,attribute1,relation2,attribute2,frequency
hasWaistline,natural,hasMaterialType,nylon,3
belongsToCategory,upperbody,hasMaterialType,nylon,3
hasMaterialType,nylon,hasWaistline,natural,3
hasMaterialType,nylon,belongsToCategory,upperbody,3
hasCollarType,pointed-collar,hasMaterialType,cotton,3
hasCollarType,pointed-collar,hasSleeveType,short-sleeve,3
hasCollarType,pointed-collar,hasNeckline,v-neck,3
hasMaterialType,cotton,hasCollarType,pointed-collar,3
hasSleeveType,short-sleeve,hasCollarType,pointed-collar,3
hasNeckline,v-neck,hasCollarType,pointed-collar,3
hasLength,regular,hasCollarType,pointed-collar,3
hasWaistline,natural,hasCollarType,pointed-collar,3
belongsToCategory,upperbody,hasCollarType,pointed-collar,3
depicts,shirt,hasCollarType,pointed-collar,3
hasCollarType,pointed-collar,hasLength,regular,3
hasCollarType,pointed-collar,hasWaistline,natural,3
hasCollarType,pointed-collar,belongsToCategory,upperbody,3
hasCollarType,pointed-collar,depicts,shirt,3
hasNeckline,plunging neckline,hasPattern,striped,2
hasNeckline,plunging neckline,hasMaterialType,cotton,2
hasLength,short,hasOpeningType,zipper,2
hasPattern,striped,hasNeckline,plunging neckline,2
hasMaterialType,cotton,hasNeckline,plunging neckline,2
hasOpeningType,zipper,hasLength,short,2
depicts,t-shirt,hasSilhouette,a-line,2
hasSilhouette,a-line,depicts,t-shirt,2
hasFabricTreatment,stretchy,hasPattern,solid color,2
hasMaterialType,fabric,hasPattern,solid color,2
hasOpeningType,back closure,hasPattern,solid color,2
hasSilhouette,fitted,hasPattern,solid color,2
depicts,bra,hasPattern,solid color,2
hasPattern,solid color,hasFabricTreatment,stretchy,2
hasLength,body-conforming,hasFabricTreatment,stretchy,2
hasPattern,solid color,hasMaterialType,fabric,2
hasLength,body-conforming,hasMaterialType,fabric,2
hasPattern,solid color,hasOpeningType,back closure,2
hasLength,body-conforming,hasSleeveType,sleeveless,2
hasFabricTreatment,stretchy,hasLength,body-conforming,2
hasMaterialType,fabric,hasLength,body-conforming,2
hasSleeveType,sleeveless,hasLength,body-conforming,2
hasWaistline,natural,hasLength,body-conforming,2
hasSilhouette,fitted,hasLength,body-conforming,2
belongsToCategory,upperbody,hasLength,body-conforming,2
depicts,bra,hasLength,body-conforming,2
hasLength,body-conforming,hasWaistline,natural,2
hasPattern,solid color,hasSilhouette,fitted,2
hasLength,body-conforming,hasSilhouette,fitted,2
hasLength,body-conforming,belongsToCategory,upperbody,2
hasPattern,solid color,depicts,bra,2
hasLength,body-conforming,depicts,bra,2
hasLength,regular,hasCollarType,v-neck,2
depicts,shirt,hasCollarType,v-neck,2
hasCollarType,v-neck,hasLength,regular,2
hasCollarType,v-neck,depicts,shirt,2
hasMaterialType,cotton,hasPattern,polka-dot,2
hasSleeveType,short-sleeve,hasPattern,polka-dot,2
hasNeckline,v-neck,hasPattern,polka-dot,2
hasWaistline,natural,hasPattern,polka-dot,2
belongsToCategory,upperbody,hasPattern,polka-dot,2
hasPattern,polka-dot,hasMaterialType,cotton,2
hasSilhouette,a-line,hasOpeningType,button,2
depicts,bra,hasOpeningType,button,2
hasPattern,polka-dot,hasSleeveType,short-sleeve,2
depicts,bra,hasSleeveType,short-sleeve,2
hasPattern,polka-dot,hasNeckline,v-neck,2
hasPattern,polka-dot,hasWaistline,natural,2
hasOpeningType,button,hasSilhouette,a-line,2
hasPattern,polka-dot,belongsToCategory,upperbody,2
hasOpeningType,button,depicts,bra,2
hasSleeveType,short-sleeve,depicts,bra,2
hasSilhouette,a-line,hasSleeveType,sleeveless,2
hasSleeveType,sleeveless,hasSilhouette,a-line,2
hasSilhouette,push-up,hasSleeveType,sleeveless,2
hasSilhouette,push-up,hasWaistline,natural,2
hasSleeveType,sleeveless,hasSilhouette,push-up,2
hasWaistline,natural,hasSilhouette,push-up,2
belongsToCategory,upperbody,hasSilhouette,push-up,2
depicts,bra,hasSilhouette,push-up,2
hasSilhouette,push-up,belongsToCategory,upperbody,2
hasSilhouette,push-up,depicts,bra,2
hasNeckline,v-neck,hasOpeningType,back closure,2
hasOpeningType,back closure,hasNeckline,v-neck,2
hasLength,short,hasPattern,floral,2
hasOpeningType,front opening,hasMaterialType,cotton,2
hasMaterialType,cotton,hasOpeningType,front opening,2
hasSleeveType,sleeveless,hasOpeningType,front opening,2
hasLength,short,hasOpeningType,front opening,2
hasWaistline,natural,hasOpeningType,front opening,2
belongsToCategory,upperbody,hasOpeningType,front opening,2
depicts,bra,hasOpeningType,front opening,2
hasOpeningType,front opening,hasSleeveType,sleeveless,2
hasLength,short,hasNeckline,sweetheart,2
hasSilhouette,fitted,hasNeckline,sweetheart,2
hasPattern,floral,hasLength,short,2
hasOpeningType,front opening,hasLength,short,2
hasNeckline,sweetheart,hasLength,short,2
hasOpeningType,front opening,hasWaistline,natural,2
hasNeckline,sweetheart,hasSilhouette,fitted,2
hasOpeningType,front opening,belongsToCategory,upperbody,2
hasOpeningType,front opening,depicts,bra,2
hasOpeningType,back opening,hasPattern,striped,2
hasNeckline,v-neck,hasMaterialType,fabric,2
hasPattern,striped,hasOpeningType,back opening,2
hasSleeveType,sleeveless,hasOpeningType,back opening,2
hasNeckline,v-neck,hasOpeningType,back opening,2
hasWaistline,natural,hasOpeningType,back opening,2
hasSilhouette,fitted,hasOpeningType,back opening,2
belongsToCategory,upperbody,hasOpeningType,back opening,2
depicts,bra,hasOpeningType,back opening,2
hasOpeningType,back opening,hasSleeveType,sleeveless,2
hasMaterialType,fabric,hasNeckline,v-neck,2
hasOpeningType,back opening,hasNeckline,v-neck,2
hasOpeningType,back opening,hasWaistline,natural,2
hasOpeningType,back opening,hasSilhouette,fitted,2
hasOpeningType,back opening,belongsToCategory,upperbody,2
hasOpeningType,back opening,depicts,bra,2
hasOpeningType,button,hasPattern,striped,2
hasPattern,striped,hasOpeningType,button,2
hasOpeningType,button,hasFabricTreatment,plain weave,2
hasSleeveType,short,hasFabricTreatment,plain weave,2
hasSilhouette,regular,hasFabricTreatment,plain weave,2
hasFabricTreatment,plain weave,hasOpeningType,button,2
hasSilhouette,regular,hasOpeningType,button,2
hasFabricTreatment,plain weave,hasSleeveType,short,2
hasNeckline,v-neck,hasSleeveType,short,2
hasSilhouette,regular,hasSleeveType,short,2
hasSleeveType,short,hasNeckline,v-neck,2
hasFabricTreatment,plain weave,hasSilhouette,regular,2
hasOpeningType,button,hasSilhouette,regular,2
hasSleeveType,short,hasSilhouette,regular,2
hasLength,midriff-baring,hasMaterialType,cotton,2
hasLength,midriff-baring,hasSleeveType,sleeveless,2
hasMaterialType,cotton,hasLength,midriff-baring,2
hasSleeveType,sleeveless,hasLength,midriff-baring,2
hasWaistline,natural,hasLength,midriff-baring,2
hasSilhouette,fitted,hasLength,midriff-baring,2
belongsToCategory,upperbody,hasLength,midriff-baring,2
depicts,bra,hasLength,midriff-baring,2
hasLength,midriff-baring,hasWaistline,natural,2
hasLength,midriff-baring,hasSilhouette,fitted,2
hasLength,midriff-baring,belongsToCategory,upperbody,2
hasLength,midriff-baring,depicts,bra,2
hasLength,regular,hasSleeveType,sleeveless,2
hasWaistline,natural,hasNeckline,v-shaped,2
belongsToCategory,upperbody,hasNeckline,v-shaped,2
hasSleeveType,sleeveless,hasLength,regular,2
hasNeckline,v-shaped,hasWaistline,natural,2
hasNeckline,v-shaped,belongsToCategory,upperbody,2
hasSleeveType,spaghetti straps,hasFabricTreatment,stretchy,2
hasSleeveType,spaghetti straps,hasOpeningType,back closure,2
hasFabricTreatment,stretchy,hasSleeveType,spaghetti straps,2
hasOpeningType,back closure,hasSleeveType,spaghetti straps,2
hasLength,body-hugging,hasSleeveType,spaghetti straps,2
hasWaistline,natural,hasSleeveType,spaghetti straps,2
hasSilhouette,fitted,hasSleeveType,spaghetti straps,2
belongsToCategory,upperbody,hasSleeveType,spaghetti straps,2
depicts,bra,hasSleeveType,spaghetti straps,2
hasSleeveType,spaghetti straps,hasLength,body-hugging,2
hasSleeveType,spaghetti straps,hasWaistline,natural,2
hasSleeveType,spaghetti straps,hasSilhouette,fitted,2
hasSleeveType,spaghetti straps,belongsToCategory,upperbody,2
hasSleeveType,spaghetti straps,depicts,bra,2
hasSleeveType,sleeveless,hasFabricTreatment,stretch,2
hasLength,short,hasFabricTreatment,stretch,2
hasWaistline,natural,hasFabricTreatment,stretch,2
belongsToCategory,upperbody,hasFabricTreatment,stretch,2
hasNeckline,plunging,hasOpeningType,back closure,2
hasLength,short,hasOpeningType,back closure,2
hasFabricTreatment,stretch,hasSleeveType,sleeveless,2
hasOpeningType,back closure,hasNeckline,plunging,2
hasWaistline,natural,hasNeckline,plunging,2
belongsToCategory,upperbody,hasNeckline,plunging,2
depicts,bra,hasNeckline,plunging,2
hasFabricTreatment,stretch,hasLength,short,2
hasOpeningType,back closure,hasLength,short,2
hasFabricTreatment,stretch,hasWaistline,natural,2
hasNeckline,plunging,hasWaistline,natural,2
hasFabricTreatment,stretch,belongsToCategory,upperbody,2
hasNeckline,plunging,belongsToCategory,upperbody,2
hasNeckline,plunging,depicts,bra,2
hasLength,regular,hasSleeveType,short,2
hasSleeveType,short,hasLength,regular,2
hasSleeveType,sleeveless,hasMaterialType,nylon,2
hasNeckline,v-neck,hasMaterialType,nylon,2
hasLength,short,hasMaterialType,nylon,2
hasMaterialType,nylon,hasSleeveType,sleeveless,2
hasMaterialType,nylon,hasNeckline,v-neck,2
hasMaterialType,nylon,hasLength,short,2
hasCollarType,pointed-collar,hasPattern,striped,2
depicts,shirt,hasPattern,striped,2
hasSleeveType,short-sleeve,hasFabricTreatment,plain weave,2
hasSilhouette,fitted,hasFabricTreatment,plain weave,2
hasLength,regular,hasOpeningType,button,2
hasSilhouette,fitted,hasOpeningType,button,2
hasFabricTreatment,plain weave,hasSleeveType,short-sleeve,2
hasSilhouette,fitted,hasSleeveType,short-sleeve,2
hasPattern,striped,hasCollarType,pointed-collar,2
hasSilhouette,fitted,hasCollarType,pointed-collar,2
hasOpeningType,button,hasLength,regular,2
hasFabricTreatment,plain weave,hasSilhouette,fitted,2
hasOpeningType,button,hasSilhouette,fitted,2
hasSleeveType,short-sleeve,hasSilhouette,fitted,2
hasCollarType,pointed-collar,hasSilhouette,fitted,2
hasPattern,striped,depicts,shirt,2
hasMaterialType,cotton,hasPattern,solid color,2
hasSleeveType,short-sleeve,hasPattern,solid color,2
hasNeckline,v-neck,hasPattern,solid color,2
hasLength,regular,hasPattern,solid color,2
hasPattern,solid color,hasMaterialType,cotton,2
hasPattern,solid color,hasSleeveType,short-sleeve,2
hasPattern,solid color,hasNeckline,v-neck,2
hasPattern,solid color,hasLength,regular,2
depicts,shirt,hasPattern,floral,2
hasPattern,floral,depicts,shirt,2
hasMaterialType,nylon,hasPattern,floral,2
hasOpeningType,back closure,hasPattern,floral,2
hasMaterialType,nylon,hasFabricTreatment,stretchy,2
hasPattern,floral,hasMaterialType,nylon,2
hasFabricTreatment,stretchy,hasMaterialType,nylon,2
hasOpeningType,back closure,hasMaterialType,nylon,2
hasSilhouette,fitted,hasMaterialType,nylon,2
depicts,bra,hasMaterialType,nylon,2
hasPattern,floral,hasOpeningType,back closure,2
hasMaterialType,nylon,hasOpeningType,back closure,2
hasMaterialType,nylon,hasSilhouette,fitted,2
hasMaterialType,nylon,depicts,bra,2
hasNeckline,plunging neckline,hasOpeningType,zipper,1
hasOpeningType,zipper,hasNeckline,plunging neckline,1
hasLength,short,hasNeckline,plunging neckline,1
hasNeckline,plunging neckline,hasLength,short,1
hasSleeveType,short-sleeve,hasPattern,floral,1
depicts,t-shirt,hasPattern,floral,1
hasPattern,floral,hasSleeveType,short-sleeve,1
hasPattern,floral,depicts,t-shirt,1
hasSleeveType,sleeveless,hasPattern,solid color,1
hasNeckline,plunging neckline,hasPattern,solid color,1
hasLength,body-conforming,hasPattern,solid color,1
hasNeckline,plunging neckline,hasFabricTreatment,stretchy,1
hasNeckline,plunging neckline,hasMaterialType,fabric,1
hasNeckline,plunging neckline,hasOpeningType,back closure,1
hasLength,body-conforming,hasOpeningType,back closure,1
hasPattern,solid color,hasSleeveType,sleeveless,1
hasPattern,solid color,hasNeckline,plunging neckline,1
hasFabricTreatment,stretchy,hasNeckline,plunging neckline,1
hasMaterialType,fabric,hasNeckline,plunging neckline,1
hasOpeningType,back closure,hasNeckline,plunging neckline,1
hasLength,body-conforming,hasNeckline,plunging neckline,1
hasPattern,solid color,hasLength,body-conforming,1
hasOpeningType,back closure,hasLength,body-conforming,1
hasNeckline,plunging neckline,hasLength,body-conforming,1
hasSilhouette,a-line,hasCollarType,v-neck,1
hasCollarType,v-neck,hasSilhouette,a-line,1
hasFabricTreatment,washed,hasPattern,polka-dot,1
hasOpeningType,button,hasPattern,polka-dot,1
hasLength,above the knee,hasPattern,polka-dot,1
hasSilhouette,a-line,hasPattern,polka-dot,1
depicts,bra,hasPattern,polka-dot,1
hasPattern,polka-dot,hasFabricTreatment,washed,1
hasMaterialType,cotton,hasFabricTreatment,washed,1
hasOpeningType,button,hasFabricTreatment,washed,1
