relation1,attribute1,relation2,attribute2,frequency
depicts,glasses,hasSleeveType,sleeveless,7
hasSleeveType,sleeveless,hasLength,short,7
belongsToCategory,head,hasSilhouette,rectangular,7
depicts,glasses,hasSilhouette,rectangular,7
hasFabricTreatment,coated,hasNickname,sunglasses,7
hasFabricTreatment,coated,belongsToCategory,head,7
hasSleeveType,sleeveless,belongsToCategory,head,7
hasSilhouette,rectangular,belongsToCategory,head,7
hasSleeveType,sleeveless,depicts,glasses,7
hasSilhouette,rectangular,depicts,glasses,7
hasNickname,sunglasses,hasSilhouette,aviator,7
hasSilhouette,aviator,hasNickname,sunglasses,7
hasNickname,sunglasses,hasSilhouette,round,7
depicts,glasses,hasSilhouette,round,7
hasSilhouette,round,hasNickname,sunglasses,7
hasSilhouette,round,depicts,glasses,7
belongsToCategory,head,hasPattern,solid color,6
hasPattern,solid color,belongsToCategory,head,6
depicts,watch,hasSilhouette,rectangular,6
depicts,watch,hasMaterialType,plastic,6
hasSilhouette,rectangular,depicts,watch,6
hasMaterialType,plastic,depicts,watch,6
hasLength,short,hasSilhouette,round,6
hasSilhouette,round,hasLength,short,6
belongsToCategory,head,hasSilhouette,round,6
hasSilhouette,round,belongsToCategory,head,6
belongsToCategory,upperbody,hasSilhouette,oval,5
hasSilhouette,oval,belongsToCategory,upperbody,5
hasLength,short,hasPattern,solid color,5
hasSilhouette,rectangular,hasPattern,solid color,5
depicts,glasses,hasPattern,solid color,5
hasSleeveType,sleeveless,hasFabricTreatment,coated,5
hasLength,short,hasFabricTreatment,coated,5
hasFabricTreatment,coated,hasSleeveType,sleeveless,5
hasNickname,sunglasses,hasSleeveType,sleeveless,5
hasPattern,solid color,hasLength,short,5
hasFabricTreatment,coated,hasLength,short,5
hasPattern,solid color,hasSilhouette,rectangular,5
hasSleeveType,sleeveless,hasNickname,sunglasses,5
hasPattern,solid color,depicts,glasses,5
depicts,watch,belongsToCategory,upperbody,5
belongsToCategory,upperbody,depicts,watch,5
hasMaterialType,plastic,hasPattern,striped,5
hasPattern,striped,hasMaterialType,plastic,5
hasSleeveType,short-sleeve,hasMaterialType,plastic,5
hasMaterialType,plastic,hasSleeveType,short-sleeve,5
hasSleeveType,sleeveless,hasPattern,solid color,4
hasSilhouette,rectangular,hasFabricTreatment,coated,4
hasPattern,solid color,hasSleeveType,sleeveless,4
hasSilhouette,rectangular,hasSleeveType,sleeveless,4
hasFabricTreatment,coated,hasSilhouette,rectangular,4
hasSleeveType,sleeveless,hasSilhouette,rectangular,4
belongsToCategory,upperbody,hasPattern,solid color,4
depicts,watch,hasLength,short,4
hasPattern,solid color,belongsToCategory,upperbody,4
hasLength,short,depicts,watch,4
hasNeckline,round,hasMaterialType,plastic,4
hasMaterialType,plastic,hasNeckline,round,4
hasNickname,sunglasses,hasPattern,striped,4
belongsToCategory,head,hasPattern,striped,4
depicts,glasses,hasPattern,striped,4
hasLength,long,hasMaterialType,plastic,4
hasMaterialType,plastic,hasLength,long,4
hasPattern,striped,hasNickname,sunglasses,4
hasPattern,striped,belongsToCategory,head,4
hasPattern,striped,depicts,glasses,4
hasLength,short,hasPattern,striped,4
hasPattern,striped,hasLength,short,4
hasSilhouette,oval,hasLength,short,3
hasLength,short,hasSilhouette,oval,3
hasOpeningType,closed opening,hasPattern,solid color,3
hasNickname,sunglasses,hasPattern,solid color,3
hasOpeningType,closed opening,hasMaterialType,plastic,3
hasPattern,solid color,hasOpeningType,closed opening,3
hasMaterialType,plastic,hasOpeningType,closed opening,3
hasSleeveType,sleeveless,hasOpeningType,closed opening,3
belongsToCategory,head,hasOpeningType,closed opening,3
hasOpeningType,closed opening,hasSleeveType,sleeveless,3
hasNickname,sunglasses,hasSilhouette,rectangular,3
hasPattern,solid color,hasNickname,sunglasses,3
hasSilhouette,rectangular,hasNickname,sunglasses,3
hasOpeningType,closed opening,belongsToCategory,head,3
hasSleeveType,short-sleeve,hasPattern,solid color,3
hasPattern,solid color,hasSleeveType,short-sleeve,3
belongsToCategory,upperbody,hasSleeveType,short-sleeve,3
belongsToCategory,upperbody,hasNeckline,round,3
hasSleeveType,short-sleeve,belongsToCategory,upperbody,3
hasNeckline,round,belongsToCategory,upperbody,3
belongsToCategory,headwear,hasMaterialType,plastic,3
hasMaterialType,plastic,belongsToCategory,headwear,3
hasSilhouette,round,hasFabricTreatment,coated,3
hasSilhouette,round,hasSleeveType,sleeveless,3
hasFabricTreatment,coated,hasSilhouette,round,3
hasSleeveType,sleeveless,hasSilhouette,round,3
hasNeckline,straight,hasPattern,striped,3
hasSilhouette,round,hasPattern,striped,3
hasNeckline,straight,hasMaterialType,plastic,3
hasPattern,striped,hasNeckline,straight,3
hasMaterialType,plastic,hasNeckline,straight,3
hasLength,short,hasNeckline,straight,3
hasSilhouette,round,hasNeckline,straight,3
hasNickname,sunglasses,hasNeckline,straight,3
belongsToCategory,head,hasNeckline,straight,3
depicts,glasses,hasNeckline,straight,3
hasNeckline,straight,hasLength,short,3
hasPattern,striped,hasSilhouette,round,3
hasNeckline,straight,hasSilhouette,round,3
hasNeckline,straight,hasNickname,sunglasses,3
hasNeckline,straight,belongsToCategory,head,3
hasNeckline,straight,depicts,glasses,3
hasSilhouette,rectangular,hasSleeveType,short-sleeve,3
hasSleeveType,short-sleeve,hasSilhouette,rectangular,3
hasOpeningType,zipper,hasMaterialType,plastic,2
hasMaterialType,plastic,hasOpeningType,zipper,2
hasSilhouette,oval,hasOpeningType,zipper,2
belongsToCategory,upperbody,hasOpeningType,zipper,2
hasOpeningType,zipper,hasSilhouette,oval,2
hasOpeningType,zipper,belongsToCategory,upperbody,2
hasFabricTreatment,coated,hasPattern,solid color,2
hasPattern,solid color,hasFabricTreatment,coated,2
hasOpeningType,closed opening,hasFabricTreatment,coated,2
hasFabricTreatment,coated,hasOpeningType,closed opening,2
hasLength,short,hasOpeningType,closed opening,2
hasSilhouette,rectangular,hasOpeningType,closed opening,2
hasNickname,sunglasses,hasOpeningType,closed opening,2
depicts,glasses,hasOpeningType,closed opening,2
hasOpeningType,closed opening,hasLength,short,2
hasOpeningType,closed opening,hasSilhouette,rectangular,2
hasOpeningType,closed opening,hasNickname,sunglasses,2
hasOpeningType,closed opening,depicts,glasses,2
depicts,watch,hasPattern,solid color,2
belongsToCategory,upperbody,hasSleeveType,sleeveless,2
hasSleeveType,sleeveless,belongsToCategory,upperbody,2
hasPattern,solid color,depicts,watch,2
depicts,sunglasses,hasMaterialType,plastic,2
hasMaterialType,plastic,depicts,sunglasses,2
hasMaterialType,plastic,hasPattern,gradient,2
hasNickname,sunglasses,hasPattern,gradient,2
belongsToCategory,head,hasPattern,gradient,2
depicts,glasses,hasPattern,gradient,2
hasPattern,gradient,hasMaterialType,plastic,2
hasSleeveType,short,hasMaterialType,plastic,2
hasMaterialType,plastic,hasSleeveType,short,2
hasNickname,sunglasses,hasSleeveType,short,2
belongsToCategory,head,hasSleeveType,short,2
depicts,glasses,hasSleeveType,short,2
depicts,glasses,hasNeckline,round,2
hasPattern,gradient,hasNickname,sunglasses,2
hasSleeveType,short,hasNickname,sunglasses,2
hasPattern,gradient,belongsToCategory,head,2
hasSleeveType,short,belongsToCategory,head,2
hasPattern,gradient,depicts,glasses,2
hasSleeveType,short,depicts,glasses,2
hasNeckline,round,depicts,glasses,2
hasSilhouette,aviator,hasLength,long,2
hasNickname,sunglasses,hasLength,long,2
belongsToCategory,head,hasLength,long,2
depicts,glasses,hasLength,long,2
hasLength,long,hasSilhouette,aviator,2
hasLength,long,hasNickname,sunglasses,2
hasLength,long,belongsToCategory,head,2
hasLength,long,depicts,glasses,2
hasSilhouette,aviator,hasFabricTreatment,coated,2
hasFabricTreatment,coated,hasSilhouette,aviator,2
depicts,lipstick,hasMaterialType,plastic,2
depicts,lipstick,hasSilhouette,oval,2
depicts,lipstick,belongsToCategory,upperbody,2
hasMaterialType,plastic,depicts,lipstick,2
hasSilhouette,oval,depicts,lipstick,2
belongsToCategory,upperbody,depicts,lipstick,2
hasNeckline,round,hasPattern,solid color,2
hasNeckline,round,hasSleeveType,short-sleeve,2
hasPattern,solid color,hasNeckline,round,2
hasSleeveType,short-sleeve,hasNeckline,round,2
hasLength,short,hasNeckline,round,2
hasSilhouette,rectangular,hasNeckline,round,2
hasNeckline,round,hasLength,short,2
hasNeckline,round,hasSilhouette,rectangular,2
hasSilhouette,aviator,hasPattern,solid color,2
hasPattern,solid color,hasSilhouette,aviator,2
belongsToCategory,upperbody,hasLength,long,2
hasLength,long,belongsToCategory,upperbody,2
depicts,glasses,belongsToCategory,headwear,2
belongsToCategory,headwear,depicts,glasses,2
depicts,perfume bottle,hasMaterialType,plastic,2
depicts,perfume bottle,hasSilhouette,rectangular,2
depicts,perfume bottle,belongsToCategory,upperbody,2
hasMaterialType,plastic,depicts,perfume bottle,2
hasSilhouette,rectangular,depicts,perfume bottle,2
belongsToCategory,upperbody,depicts,perfume bottle,2
hasSleeveType,sleeveless,hasPattern,striped,2
hasPattern,striped,hasSleeveType,sleeveless,2
hasNeckline,straight,hasSleeveType,sleeveless,2
hasSleeveType,sleeveless,hasNeckline,straight,2
depicts,glasses,hasSilhouette,oval,2
hasSilhouette,oval,depicts,glasses,2
depicts,watch,hasSleeveType,short-sleeve,2
hasSleeveType,short-sleeve,depicts,watch,2
hasSleeveType,long-sleeve,hasMaterialType,plastic,1
hasNeckline,round neck,hasMaterialType,plastic,1
hasNickname,lipstick,hasMaterialType,plastic,1
depicts,lip gloss,hasMaterialType,plastic,1
hasSleeveType,long-sleeve,hasOpeningType,zipper,1
hasNeckline,round neck,hasOpeningType,zipper,1
hasLength,short,hasOpeningType,zipper,1
hasNickname,lipstick,hasOpeningType,zipper,1
depicts,lip gloss,hasOpeningType,zipper,1
hasMaterialType,plastic,hasSleeveType,long-sleeve,1
hasOpeningType,zipper,hasSleeveType,long-sleeve,1
hasNeckline,round neck,hasSleeveType,long-sleeve,1
hasLength,short,hasSleeveType,long-sleeve,1
hasSilhouette,oval,hasSleeveType,long-sleeve,1
hasNickname,lipstick,hasSleeveType,long-sleeve,1
belongsToCategory,upperbody,hasSleeveType,long-sleeve,1
depicts,lip gloss,hasSleeveType,long-sleeve,1
hasMaterialType,plastic,hasNeckline,round neck,1
hasOpeningType,zipper,hasNeckline,round neck,1
hasSleeveType,long-sleeve,hasNeckline,round neck,1
hasLength,short,hasNeckline,round neck,1
hasSilhouette,oval,hasNeckline,round neck,1
hasNickname,lipstick,hasNeckline,round neck,1
belongsToCategory,upperbody,hasNeckline,round neck,1
depicts,lip gloss,hasNeckline,round neck,1
hasOpeningType,zipper,hasLength,short,1
hasSleeveType,long-sleeve,hasLength,short,1
hasNeckline,round neck,hasLength,short,1
hasNickname,lipstick,hasLength,short,1
depicts,lip gloss,hasLength,short,1
hasSleeveType,long-sleeve,hasSilhouette,oval,1
hasNeckline,round neck,hasSilhouette,oval,1
hasNickname,lipstick,hasSilhouette,oval,1
depicts,lip gloss,hasSilhouette,oval,1
hasMaterialType,plastic,hasNickname,lipstick,1
hasOpeningType,zipper,hasNickname,lipstick,1
hasSleeveType,long-sleeve,hasNickname,lipstick,1
hasNeckline,round neck,hasNickname,lipstick,1
hasLength,short,hasNickname,lipstick,1
hasSilhouette,oval,hasNickname,lipstick,1
belongsToCategory,upperbody,hasNickname,lipstick,1
depicts,lip gloss,hasNickname,lipstick,1
hasSleeveType,long-sleeve,belongsToCategory,upperbody,1
hasNeckline,round neck,belongsToCategory,upperbody,1
hasNickname,lipstick,belongsToCategory,upperbody,1
depicts,lip gloss,belongsToCategory,upperbody,1
hasMaterialType,plastic,depicts,lip gloss,1
hasOpeningType,zipper,depicts,lip gloss,1
hasSleeveType,long-sleeve,depicts,lip gloss,1
hasNeckline,round neck,depicts,lip gloss,1
hasLength,short,depicts,lip gloss,1
hasSilhouette,oval,depicts,lip gloss,1
hasNickname,lipstick,depicts,lip gloss,1
belongsToCategory,upperbody,depicts,lip gloss,1
hasNeckline,no neckline,hasPattern,solid color,1
hasNeckline,no neckline,hasFabricTreatment,coated,1
hasNeckline,no neckline,hasMaterialType,plastic,1
hasNeckline,no neckline,hasOpeningType,closed opening,1
hasNeckline,no neckline,hasSleeveType,sleeveless,1
hasPattern,solid color,hasNeckline,no neckline,1
hasFabricTreatment,coated,hasNeckline,no neckline,1
hasMaterialType,plastic,hasNeckline,no neckline,1
hasOpeningType,closed opening,hasNeckline,no neckline,1
hasSleeveType,sleeveless,hasNeckline,no neckline,1
hasLength,short,hasNeckline,no neckline,1
hasSilhouette,rectangular,hasNeckline,no neckline,1
hasNickname,sunglasses,hasNeckline,no neckline,1
belongsToCategory,head,hasNeckline,no neckline,1
depicts,glasses,hasNeckline,no neckline,1
hasNeckline,no neckline,hasLength,short,1
hasNeckline,no neckline,hasSilhouette,rectangular,1
hasNeckline,no neckline,hasNickname,sunglasses,1
hasNeckline,no neckline,belongsToCategory,head,1
hasNeckline,no neckline,depicts,glasses,1
hasFabricTreatment,textured surface,hasSilhouette,rectangular,1
hasSilhouette,square or rectangular with rounded corners,hasSilhouette,rectangular,1
hasFabricTreatment,textured surface,belongsToCategory,head,1
hasSilhouette,square or rectangular with rounded corners,belongsToCategory,head,1
belongsToCategory,upperbody,belongsToCategory,head,1
depicts,watch,belongsToCategory,head,1
hasFabricTreatment,textured surface,hasPattern,solid color,1
hasSilhouette,square or rectangular with rounded corners,hasPattern,solid color,1
hasSilhouette,rectangular,hasFabricTreatment,textured surface,1
belongsToCategory,head,hasFabricTreatment,textured surface,1
hasPattern,solid color,hasFabricTreatment,textured surface,1
hasMaterialType,plastic,hasFabricTreatment,textured surface,1
hasOpeningType,closed opening,hasFabricTreatment,textured surface,1
hasSleeveType,sleeveless,hasFabricTreatment,textured surface,1
hasLength,short,hasFabricTreatment,textured surface,1
hasSilhouette,square or rectangular with rounded corners,hasFabricTreatment,textured surface,1
belongsToCategory,upperbody,hasFabricTreatment,textured surface,1
depicts,watch,hasFabricTreatment,textured surface,1
hasFabricTreatment,textured surface,hasMaterialType,plastic,1
hasSilhouette,square or rectangular with rounded corners,hasMaterialType,plastic,1
hasFabricTreatment,textured surface,hasOpeningType,closed opening,1
hasSilhouette,square or rectangular with rounded corners,hasOpeningType,closed opening,1
belongsToCategory,upperbody,hasOpeningType,closed opening,1
depicts,watch,hasOpeningType,closed opening,1
hasFabricTreatment,textured surface,hasSleeveType,sleeveless,1
hasSilhouette,square or rectangular with rounded corners,hasSleeveType,sleeveless,1
depicts,watch,hasSleeveType,sleeveless,1
hasFabricTreatment,textured surface,hasLength,short,1
hasSilhouette,square or rectangular with rounded corners,hasLength,short,1
hasSilhouette,rectangular,hasSilhouette,square or rectangular with rounded corners,1
belongsToCategory,head,hasSilhouette,square or rectangular with rounded corners,1
hasPattern,solid color,hasSilhouette,square or rectangular with rounded corners,1
hasFabricTreatment,textured surface,hasSilhouette,square or rectangular with rounded corners,1
hasMaterialType,plastic,hasSilhouette,square or rectangular with rounded corners,1
hasOpeningType,closed opening,hasSilhouette,square or rectangular with rounded corners,1
hasSleeveType,sleeveless,hasSilhouette,square or rectangular with rounded corners,1
hasLength,short,hasSilhouette,square or rectangular with rounded corners,1
belongsToCategory,upperbody,hasSilhouette,square or rectangular with rounded corners,1
depicts,watch,hasSilhouette,square or rectangular with rounded corners,1
belongsToCategory,head,belongsToCategory,upperbody,1
hasFabricTreatment,textured surface,belongsToCategory,upperbody,1
hasOpeningType,closed opening,belongsToCategory,upperbody,1
hasSilhouette,square or rectangular with rounded corners,belongsToCategory,upperbody,1
belongsToCategory,head,depicts,watch,1
hasFabricTreatment,textured surface,depicts,watch,1
hasOpeningType,closed opening,depicts,watch,1
hasSleeveType,sleeveless,depicts,watch,1
hasSilhouette,square or rectangular with rounded corners,depicts,watch,1
depicts,sunglasses,hasSilhouette,oval,1
depicts,sunglasses,belongsToCategory,upperbody,1
hasSilhouette,oval,depicts,sunglasses,1
belongsToCategory,upperbody,depicts,sunglasses,1
hasFabricTreatment,anti-reflective coating,hasPattern,gradient,1
hasSleeveType,short,hasPattern,gradient,1
hasNeckline,round,hasPattern,gradient,1
hasLength,medium,hasPattern,gradient,1
hasSilhouette,aviator,hasPattern,gradient,1
hasPattern,gradient,hasFabricTreatment,anti-reflective coating,1
hasMaterialType,plastic,hasFabricTreatment,anti-reflective coating,1
hasSleeveType,short,hasFabricTreatment,anti-reflective coating,1
hasNeckline,round,hasFabricTreatment,anti-reflective coating,1
hasLength,medium,hasFabricTreatment,anti-reflective coating,1
hasSilhouette,aviator,hasFabricTreatment,anti-reflective coating,1
hasNickname,sunglasses,hasFabricTreatment,anti-reflective coating,1
belongsToCategory,head,hasFabricTreatment,anti-reflective coating,1
depicts,glasses,hasFabricTreatment,anti-reflective coating,1
hasFabricTreatment,anti-reflective coating,hasMaterialType,plastic,1
hasLength,medium,hasMaterialType,plastic,1
hasPattern,gradient,hasSleeveType,short,1
hasFabricTreatment,anti-reflective coating,hasSleeveType,short,1
hasNeckline,round,hasSleeveType,short,1
hasLength,medium,hasSleeveType,short,1
hasSilhouette,aviator,hasSleeveType,short,1
hasPattern,gradient,hasNeckline,round,1
hasFabricTreatment,anti-reflective coating,hasNeckline,round,1
hasSleeveType,short,hasNeckline,round,1
hasLength,medium,hasNeckline,round,1
hasSilhouette,aviator,hasNeckline,round,1
hasNickname,sunglasses,hasNeckline,round,1
belongsToCategory,head,hasNeckline,round,1
hasPattern,gradient,hasLength,medium,1
hasFabricTreatment,anti-reflective coating,hasLength,medium,1
hasMaterialType,plastic,hasLength,medium,1
hasSleeveType,short,hasLength,medium,1
hasNeckline,round,hasLength,medium,1
hasSilhouette,aviator,hasLength,medium,1
hasNickname,sunglasses,hasLength,medium,1
belongsToCategory,head,hasLength,medium,1
depicts,glasses,hasLength,medium,1
hasPattern,gradient,hasSilhouette,aviator,1
hasFabricTreatment,anti-reflective coating,hasSilhouette,aviator,1
hasSleeveType,short,hasSilhouette,aviator,1
hasNeckline,round,hasSilhouette,aviator,1
hasLength,medium,hasSilhouette,aviator,1
hasFabricTreatment,anti-reflective coating,hasNickname,sunglasses,1
hasNeckline,round,hasNickname,sunglasses,1
hasLength,medium,hasNickname,sunglasses,1
hasFabricTreatment,anti-reflective coating,belongsToCategory,head,1
hasNeckline,round,belongsToCategory,head,1
hasLength,medium,belongsToCategory,head,1
hasFabricTreatment,anti-reflective coating,depicts,glasses,1
hasLength,medium,depicts,glasses,1
hasLength,long,hasPattern,striped,1
hasSilhouette,aviator,hasPattern,striped,1
hasPattern,striped,hasLength,long,1
hasPattern,striped,hasSilhouette,aviator,1
hasSilhouette,round,hasOpeningType,buttonhole,1
hasMaterialType,plastic,hasOpeningType,buttonhole,1
hasLength,short,hasOpeningType,buttonhole,1
hasSilhouette,rectangular,hasOpeningType,buttonhole,1
belongsToCategory,upperbody,hasOpeningType,buttonhole,1
depicts,watch,hasOpeningType,buttonhole,1
hasOpeningType,buttonhole,hasSilhouette,round,1
hasSilhouette,rectangular,hasSilhouette,round,1
belongsToCategory,upperbody,hasSilhouette,round,1
depicts,watch,hasSilhouette,round,1
hasOpeningType,buttonhole,hasMaterialType,plastic,1
hasOpeningType,buttonhole,hasLength,short,1
hasOpeningType,buttonhole,hasSilhouette,rectangular,1
hasSilhouette,round,hasSilhouette,rectangular,1
hasOpeningType,buttonhole,belongsToCategory,upperbody,1
hasSilhouette,round,belongsToCategory,upperbody,1
hasOpeningType,buttonhole,depicts,watch,1
hasSilhouette,round,depicts,watch,1
hasSilhouette,aviator,hasLength,short,1
hasLength,short,hasSilhouette,aviator,1
hasLength,long,hasFabricTreatment,coated,1
hasFabricTreatment,coated,hasLength,long,1
hasSilhouette,aviator,hasLeatherType,plastic,1
belongsToCategory,head,hasLeatherType,plastic,1
depicts,glasses,hasLeatherType,plastic,1
hasLeatherType,plastic,hasSilhouette,aviator,1
hasLeatherType,plastic,belongsToCategory,head,1
hasLeatherType,plastic,depicts,glasses,1
hasFabricTreatment,glossy,hasPattern,striped,1
hasSilhouette,oval,hasPattern,striped,1
hasNickname,red lipstick,hasPattern,striped,1
belongsToCategory,upperbody,hasPattern,striped,1
depicts,lipstick,hasPattern,striped,1
hasPattern,striped,hasFabricTreatment,glossy,1
hasMaterialType,plastic,hasFabricTreatment,glossy,1
hasLength,short,hasFabricTreatment,glossy,1
hasSilhouette,oval,hasFabricTreatment,glossy,1
hasNickname,red lipstick,hasFabricTreatment,glossy,1
belongsToCategory,upperbody,hasFabricTreatment,glossy,1
depicts,lipstick,hasFabricTreatment,glossy,1
hasFabricTreatment,glossy,hasMaterialType,plastic,1
hasNickname,red lipstick,hasMaterialType,plastic,1
hasFabricTreatment,glossy,hasLength,short,1
hasNickname,red lipstick,hasLength,short,1
depicts,lipstick,hasLength,short,1
hasPattern,striped,hasSilhouette,oval,1
hasFabricTreatment,glossy,hasSilhouette,oval,1
hasNickname,red lipstick,hasSilhouette,oval,1
hasPattern,striped,hasNickname,red lipstick,1
hasFabricTreatment,glossy,hasNickname,red lipstick,1
hasMaterialType,plastic,hasNickname,red lipstick,1
hasLength,short,hasNickname,red lipstick,1
hasSilhouette,oval,hasNickname,red lipstick,1
belongsToCategory,upperbody,hasNickname,red lipstick,1
depicts,lipstick,hasNickname,red lipstick,1
hasPattern,striped,belongsToCategory,upperbody,1
hasFabricTreatment,glossy,belongsToCategory,upperbody,1
hasNickname,red lipstick,belongsToCategory,upperbody,1
hasPattern,striped,depicts,lipstick,1
hasFabricTreatment,glossy,depicts,lipstick,1
hasLength,short,depicts,lipstick,1
hasNickname,red lipstick,depicts,lipstick,1
hasSleeveType,long,hasMaterialType,plastic,1
hasSilhouette,ovals,hasMaterialType,plastic,1
hasMaterialType,plastic,hasSleeveType,long,1
hasLength,short,hasSleeveType,long,1
hasSilhouette,ovals,hasSleeveType,long,1
hasNickname,sunglasses,hasSleeveType,long,1
belongsToCategory,head,hasSleeveType,long,1
depicts,glasses,hasSleeveType,long,1
hasSleeveType,long,hasLength,short,1
hasSilhouette,ovals,hasLength,short,1
hasMaterialType,plastic,hasSilhouette,ovals,1
hasSleeveType,long,hasSilhouette,ovals,1
hasLength,short,hasSilhouette,ovals,1
hasNickname,sunglasses,hasSilhouette,ovals,1
belongsToCategory,head,hasSilhouette,ovals,1
depicts,glasses,hasSilhouette,ovals,1
hasSleeveType,long,hasNickname,sunglasses,1
hasSilhouette,ovals,hasNickname,sunglasses,1
hasSleeveType,long,belongsToCategory,head,1
hasSilhouette,ovals,belongsToCategory,head,1
hasSleeveType,long,depicts,glasses,1
hasSilhouette,ovals,depicts,glasses,1
hasOpeningType,open front,hasPattern,solid color,1
hasLength,regular,hasPattern,solid color,1
hasSilhouette,straight,hasPattern,solid color,1
depicts,energy drink can,hasPattern,solid color,1
hasOpeningType,open front,hasMaterialType,plastic,1
hasLength,regular,hasMaterialType,plastic,1
hasSilhouette,straight,hasMaterialType,plastic,1
depicts,energy drink can,hasMaterialType,plastic,1
hasPattern,solid color,hasOpeningType,open front,1
hasMaterialType,plastic,hasOpeningType,open front,1
hasSleeveType,short-sleeve,hasOpeningType,open front,1
hasNeckline,round,hasOpeningType,open front,1
hasLength,regular,hasOpeningType,open front,1
hasSilhouette,straight,hasOpeningType,open front,1
belongsToCategory,upperbody,hasOpeningType,open front,1
depicts,energy drink can,hasOpeningType,open front,1
hasOpeningType,open front,hasSleeveType,short-sleeve,1
hasLength,regular,hasSleeveType,short-sleeve,1
hasSilhouette,straight,hasSleeveType,short-sleeve,1
depicts,energy drink can,hasSleeveType,short-sleeve,1
hasOpeningType,open front,hasNeckline,round,1
hasLength,regular,hasNeckline,round,1
hasSilhouette,straight,hasNeckline,round,1
depicts,energy drink can,hasNeckline,round,1
hasPattern,solid color,hasLength,regular,1
hasMaterialType,plastic,hasLength,regular,1
hasOpeningType,open front,hasLength,regular,1
hasSleeveType,short-sleeve,hasLength,regular,1
hasNeckline,round,hasLength,regular,1
hasSilhouette,straight,hasLength,regular,1
belongsToCategory,upperbody,hasLength,regular,1
depicts,energy drink can,hasLength,regular,1
hasPattern,solid color,hasSilhouette,straight,1
hasMaterialType,plastic,hasSilhouette,straight,1
hasOpeningType,open front,hasSilhouette,straight,1
hasSleeveType,short-sleeve,hasSilhouette,straight,1
hasNeckline,round,hasSilhouette,straight,1
hasLength,regular,hasSilhouette,straight,1
belongsToCategory,upperbody,hasSilhouette,straight,1
depicts,energy drink can,hasSilhouette,straight,1
hasOpeningType,open front,belongsToCategory,upperbody,1
hasLength,regular,belongsToCategory,upperbody,1
hasSilhouette,straight,belongsToCategory,upperbody,1
depicts,energy drink can,belongsToCategory,upperbody,1
hasPattern,solid color,depicts,energy drink can,1
hasMaterialType,plastic,depicts,energy drink can,1
hasOpeningType,open front,depicts,energy drink can,1
hasSleeveType,short-sleeve,depicts,energy drink can,1
hasNeckline,round,depicts,energy drink can,1
hasLength,regular,depicts,energy drink can,1
hasSilhouette,straight,depicts,energy drink can,1
belongsToCategory,upperbody,depicts,energy drink can,1
hasOpeningType,open-front,hasFabricTreatment,coated,1
hasPocketType,pocketless,hasFabricTreatment,coated,1
hasNeckline,round,hasFabricTreatment,coated,1
hasLapelType,lapel-less,hasFabricTreatment,coated,1
belongsToCategory,upperbody,hasFabricTreatment,coated,1
