SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, depicts, Shirt
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_animal_pattern, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, depicts, Shirt
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, belongs_to_category, upperbody
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_silhouette, Straight
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_waistline, Natural
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_length, Short
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_collar_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_lapel_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_neckline, V-Neck
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_sleeve_type, Sleeveless
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_pocket_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_opening_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_material_type, Cotton
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_leather_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_fabric_treatment, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_pattern, Stripes
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_animal_pattern, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, depicts, Shirt
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, belongs_to_category, upperbody
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_silhouette, Straight
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_waistline, Natural
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_length, Short
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_collar_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_lapel_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_neckline, V-Neck
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_sleeve_type, Sleeveless
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_pocket_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_opening_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_material_type, Cotton
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_leather_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_fabric_treatment, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_pattern, Stripes
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_animal_pattern, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, depicts, Shirt
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, belongs_to_category, upperbody
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_silhouette, Straight
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_waistline, Natural
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_length, Short
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_collar_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_lapel_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_neckline, V-Neck
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_sleeve_type, Sleeveless
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_pocket_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_opening_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_material_type, Cotton
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_leather_type, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_fabric_treatment, None
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_pattern, Stripes
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics_0, has_animal_pattern, None
